site_id,sequence_start_date,anchor_date,reference_date,target_date
77.508675_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.845324,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.903714,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.912697,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_12.917189,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_13.137276,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_13.159734,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.508675_13.191175,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_12.746509,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_12.764475,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_12.77795,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_12.822866,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_12.908206,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_13.087869,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_13.096852,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_13.137276,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.513166_13.1777,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.764475,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.77795,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.782442,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.795916,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.827358,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.849815,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.885748,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_12.998037,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_13.11931,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_13.182192,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_13.186684,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.517658_13.191175,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.751001,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.755492,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.759984,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.782442,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.809391,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.813883,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.818374,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_12.845324,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_13.056428,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_13.078886,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_13.146259,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.522149_13.200158,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_12.751001,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_12.840832,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_13.078886,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_13.105835,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.526641_13.110327,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_12.791425,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_12.795916,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_12.800408,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_12.822866,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_12.827358,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_13.083377,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.531133_13.195667,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_12.77795,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_12.822866,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.069903,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.083377,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.096852,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.132785,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.137276,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.535624_13.195667,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_12.77795,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_12.795916,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.042953,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.074394,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.092361,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.101344,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.105835,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.540116_13.132785,2019-01-01,2019-12-01,2020-01-01,2020-04-01
