Rain_log,Temp,LST,SoilMoisture,NDVI,green_fraction_boxcox,Clay,Nitrogen_log,pH,BulkDensity,Elevation,Slope_log,AOD_log,NO2_log,SO2,Month_Sin,Month_Cos,longitude,latitude
0.7969088891568967,20.94872936946103,30.736666666666736,0.20057148,0.3020447,-36.79275424105504,19.1,2.970414465569701,6.4,1.37,894,0.7690431639826705,0.39191923010647917,3.644453152518334,-0.00013404205045716957,0.49999999999999994,0.8660254037844387,77.42333471661146,13.141767881004355
1.8390086145678948,20.826365038143702,29.64500000000004,0.20057148,0.19005457,-65.43175602825131,19.2,2.8791984572980396,6.3,1.38,910,0.3436702472457048,0.3984550879827447,3.6489844767261572,-0.00012231888033627223,0.49999999999999994,0.8660254037844387,77.42333471661146,13.150751033845552
2.043417508915467,21.527891310825225,29.110000000000017,0.21333915,0.24566352,-33.87398124120813,17.5,2.8507065015037334,6.6,1.36,762,0.8865162383729233,0.41815096791534695,3.946607768274895,7.017457809008819e-05,0.49999999999999994,0.8660254037844387,77.42782629303201,12.84532383724492
1.7645503852724052,21.19387805897702,30.00333333333333,0.21333915,0.25835133,-26.621969911935192,17.7,2.8791984572980396,6.5,1.36,775,0.685801265270362,0.4645512922340011,4.000191445407274,-3.186091702298306e-05,0.49999999999999994,0.8660254037844387,77.42782629303201,12.858798566506707
1.76661979092493,21.19387805897702,29.143333333333377,0.2117296,0.28119653,-24.630553658233026,21.2,2.9496883350525844,6.5,1.38,814,0.6616386598520273,0.4236651447521156,4.23500745328224,0.0002284070262085748,0.49999999999999994,0.8660254037844387,77.42782629303201,12.93066378923627
1.76661979092493,21.19387805897702,28.99000000000001,0.2117296,0.42164102,-14.072704021412028,19.5,2.8735646395797834,6.5,1.35,814,0.6334078714260637,0.42755270457216915,4.23500745328224,0.0002284070262085748,0.49999999999999994,0.8660254037844387,77.42782629303201,12.939646942077466
1.76661979092493,21.19387805897702,29.403333333333364,0.2117296,0.32673705,-34.794261006535,21.1,2.856470206220483,6.5,1.35,822,0.7911374928711048,0.43564014823702707,4.173616749073498,0.00021753915881281424,0.49999999999999994,0.8660254037844387,77.42782629303201,12.944138518498065
1.9536081344951606,21.07391838155769,29.32000000000005,0.20626916,0.26765904,-37.95973989541531,21.9,2.884800712846709,6.4,1.35,836,0.6141105208171045,0.44742930720719654,4.210083485735984,0.00011541387967714836,0.49999999999999994,0.8660254037844387,77.42782629303201,13.02049531764822
1.9536081344951606,21.07391838155769,29.32000000000005,0.20626916,0.52135247,-12.31947340592288,20.6,2.917770732084279,6.4,1.36,838,0.3592949487267523,0.44742930720719654,4.210083485735984,0.00011541387967714836,0.49999999999999994,0.8660254037844387,77.42782629303201,13.024986894068817
0.7969088891568967,20.94872936946103,30.390000000000043,0.20057148,0.29065317,-43.38245660761378,19.0,2.954910279033736,6.4,1.38,877,0.6353040352861026,0.41614124810539893,3.7311896626276084,-1.553942341716375e-05,0.49999999999999994,0.8660254037844387,77.42782629303201,13.110326846060175
0.7969088891568967,20.94872936946103,29.856666666666683,0.20057148,0.36823186,-33.5854428108517,21.0,3.077312260546414,6.3,1.37,881,0.23162492258623674,0.39994992742005425,3.675739204821863,-0.00012276554435627503,0.49999999999999994,0.8660254037844387,77.42782629303201,13.132784728163166
1.7645503852724052,21.19387805897702,30.00333333333333,0.21333915,0.2751947,-27.95312506592338,18.3,2.9014215940827497,6.5,1.37,775,0.6920154253665732,0.4645512922340011,4.013111331927457,8.63360397302556e-06,0.49999999999999994,0.8660254037844387,77.43231786945262,12.858798566506707
1.7645503852724052,21.19387805897702,30.00333333333333,0.21333915,0.17347561,-32.68251408224105,18.3,2.9069010598473755,6.5,1.37,779,0.6826548076285092,0.4645512922340011,4.0441452086217815,0.00011029585881183853,0.49999999999999994,0.8660254037844387,77.43231786945262,12.863290142927305
1.7645503852724052,21.19387805897702,28.870000000000005,0.21333915,0.28800797,-26.08267068093005,19.8,2.8903717578961645,6.5,1.37,771,0.3085462243665834,0.4641167704266044,4.0441452086217815,0.00011029585881183853,0.49999999999999994,0.8660254037844387,77.43231786945262,12.867781719347903
1.7645503852724052,21.19387805897702,28.58333333333337,0.21333915,0.24484499,-32.21527206087781,18.3,2.9601050959108397,6.5,1.36,773,0.4333537526584463,0.4530424158523871,4.183971573365123,0.0002519481718688781,0.49999999999999994,0.8660254037844387,77.43231786945262,12.881256448609697
1.7645503852724052,21.19387805897702,29.476666666666688,0.21333915,0.1805237,-40.042516420839554,18.7,3.109060958860994,6.5,1.37,779,0.7747610379465019,0.4619780895298753,4.183971573365123,0.0002519481718688781,0.49999999999999994,0.8660254037844387,77.43231786945262,12.885748025030296
1.6816563925706904,21.07391838155769,29.87666666666672,0.2117296,0.30731612,-28.037675567266483,21.2,2.89591193827178,6.5,1.37,822,0.5629738575886511,0.4579713029980582,4.245842099488296,0.00015861940763187818,0.49999999999999994,0.8660254037844387,77.43231786945262,12.95761324775986
1.6816563925706904,21.07391838155769,30.190000000000055,0.2117296,0.31390262,-25.496307392922553,21.7,2.8735646395797834,6.4,1.37,849,0.9061068517504792,0.464771214005572,4.272268963318063,0.00022156692220041515,0.49999999999999994,0.8660254037844387,77.43231786945262,12.998037435545235
2.0831173908335945,20.94872936946103,29.090000000000032,0.20626916,0.34950694,-31.021376280046525,20.3,3.0204248861443626,6.3,1.37,867,0.6715759351804382,0.464064977678153,3.893833074245081,4.973098187561142e-06,0.49999999999999994,0.8660254037844387,77.43231786945262,13.087868963957185
